7人レジスタンス・2回目
end
似非原,ほげほげ,NAORA,orange,dolpen,shake,かなだ,canaad,コル子11,3122,yudai214,yudai214,necro,necro
dolpen,コル子11,NAORA
7
end
6
NAORA
似非原



necro,success,dolpen,failure,似非原,success,yudai214,success

registance,registance,spy,spy,spy
system,message,red,かなださんは、【信任】に投票しました。,1332516544
system,message,red,dolpenさんは、【信任】に投票しました。,1332516544
system,message,red,NAORAさんは、【信任】に投票しました。,1332516544
system,message,red,似非原さんは、【信任】に投票しました。,1332516544
似非原,say,navy,とくに7人だと、スパイが3人いるので,1332516538
似非原,say,navy,とくに7人だと、スパイが3人いるので,1332516531
似非原,say,navy,どうなんでしょ。最初にスパイが投票っていうのもありそうですし,1332516517
yudai214,say,black,ぼくしてん、1/2で黒だそうだし,1332516512
かなだ,say,black,最初の投票を飛ばすのもありですね。。。,1332516490
dolpen,say,black,初手不信任ってメリットあんのかなー。考える,1332516480
yudai214,say,black,こういう議論してるの基本的にスパイにはむづかしいって判断すれば、ゲーム的には本質的と言うかアレ,1332516459
似非原,say,navy,でも最初に不信任の意味ないしな～w,1332516444
system,warning,red,コル子11さんは、【dolpen、コル子11、yudai214】を、チームとして選びました。,1332516440
かなだ,say,black,お願いします>タスク,1332516437
似非原,say,black,タスクにつんでおきます～,1332516399
かなだ,say,black,yudaiさんが真っ黒に見えるｗ,1332516388
yudai214,say,black,じゃああと１人白みつけるか,1332516386
似非原,say,black,ルールボードが表示されるような感じのを作った方がいいですね,1332516381
dolpen,say,black,おっし,1332516379
system,warning,red,【コル子11】が、リーダーとして選出されました。,1332516361
system,warning,red,このミッションは【成功】しました。,1332516361
necro,say,black,yudaiさんｗｗｗｗ,1332516351
yudai214,say,black,黒はいってんじゃね,1332516350
コル子11,say,black,ｗｗｗ,1332516349
dolpen,say,black,なにこれ怪しい,1332516338
necro,say,black,白アピ怖いｗ,1332516327
system,warning,red,【dolpen】が選んだチーム(似非原、dolpen)は信任されました。,1332516319
system,message,red,necroさんは、【信任】に投票しました。,1332516319
system,message,red,yudai214さんは、【不信任】に投票しました。,1332516319
system,message,red,コル子11さんは、【信任】に投票しました。,1332516319
system,message,red,かなださんは、【信任】に投票しました。,1332516319
system,message,red,dolpenさんは、【信任】に投票しました。,1332516319
system,message,red,NAORAさんは、【信任】に投票しました。,1332516319
system,message,red,似非原さんは、【信任】に投票しました。,1332516319
yudai214,say,black,ぼくしろいよー☆,1332516308
system,warning,red,dolpenさんは、【似非原、dolpen】を、チームとして選びました。,1332516291
dolpen,say,black,二人だし、ささっといこう！,1332516287
yudai214,say,black,2-3-3-4-4　4-3,1332516278
かなだ,say,black,これ、スパイが何人とか、選出の順番が表示されると嬉しいかも。。。,1332516274
dolpen,say,black,おっし,1332516272
コル子11,say,black,おーはじまた,1332516251
necro,say,black,また来てしまった,1332516236
system,warning,red,【dolpen】が、リーダーとして選出されました。,1332516231
system,warning,red,necroさんが入室しました。,1332516231
似非原,say,black,とりあえず、僕が立てるのはこれが最後になります,1332516188
system,warning,red,yudai214さんが入室しました。,1332516148
NAORA,say,teal,今のうちにログ漁りを・・・,1332516080
NAORA,say,teal,ただいま？です～,1332516058
system,warning,red,コル子11さんが入室しました。,1332516049
system,warning,red,かなださんが入室しました。,1332516032
似非原,say,black,おかえりなさい～,1332516028
system,warning,red,dolpenさんが入室しました。,1332516021
system,warning,red,NAORAさんが入室しました。,1332515980
system,warning,red,似非原さんが入室しました。,1332515937
